Districte,Seccio,Total
1,1,1346
1,2,1527
1,3,3496
1,4,2875
1,5,2460
1,6,1635
1,7,1982
1,8,3306
1,9,2246
1,10,2439
1,11,3236
1,12,1908
1,13,1434
1,14,2049
1,15,2376
1,16,2183
1,17,2518
1,18,1656
1,19,2845
1,20,2069
1,21,2019
1,22,1276
1,23,1982
1,25,1247
1,26,3677
1,27,1629
1,28,1812
1,29,1386
1,30,2482
1,31,1544
1,32,1794
1,33,1127
1,34,929
1,35,1292
1,36,1199
1,37,1445
1,38,1468
1,39,1279
1,40,1102
1,41,1455
1,42,1803
1,43,1617
1,44,1456
1,45,1950
1,46,1747
1,47,1727
1,48,2051
1,49,1564
1,50,1554
1,51,1767
1,52,2694
1,53,1862
1,54,1283
1,55,1333
2,1,1315
2,2,2599
2,3,1263
2,4,1488
2,5,2037
2,6,1661
2,7,1281
2,8,1852
2,9,1771
2,10,1194
2,11,1093
2,12,1551
2,13,1151
2,14,1359
2,15,1483
2,16,1872
2,17,1977
2,18,1861
2,19,1866
2,20,1406
2,21,1497
2,22,1293
2,23,1103
2,24,1089
2,25,1168
2,26,2131
2,27,1959
2,28,2050
2,29,1275
2,30,1310
2,31,1072
2,32,1212
2,33,1179
2,34,1233
2,35,1325
2,36,1222
2,37,1229
2,38,1584
2,39,1749
2,40,1655
2,41,1658
2,42,1630
2,43,1457
2,44,1221
2,45,1160
2,46,1905
2,47,1914
2,48,1277
2,49,2119
2,50,1647
2,51,1832
2,52,1787
2,53,1838
2,54,1874
2,55,1843
2,56,1457
2,57,1306
2,58,1388
2,59,1620
2,60,1671
2,61,1372
2,62,1529
2,63,1217
2,64,1348
2,65,1891
2,66,1798
2,67,1676
2,68,1624
2,69,1392
2,70,1323
2,71,1709
2,72,1236
2,73,1686
2,74,1261
2,75,1238
2,76,1688
2,77,1539
2,78,1400
2,79,1308
2,80,1450
2,81,2118
2,82,934
2,83,1858
2,84,2058
2,85,1484
2,86,1442
2,87,1439
2,88,1646
2,89,1849
2,90,1756
2,91,1975
2,92,2166
2,93,1589
2,94,1425
2,95,1507
2,96,1429
2,97,1080
2,98,1515
2,99,1576
2,100,1405
2,101,2167
2,102,1398
2,103,1676
2,104,1158
2,105,2133
2,106,1454
2,107,1615
2,108,1614
2,109,2055
2,110,1912
2,111,1805
2,112,1323
2,113,2259
2,114,1679
2,115,1360
2,116,1033
2,117,1208
2,118,1499
2,119,1278
2,120,1192
2,121,1258
2,122,1065
2,123,1145
2,124,1065
2,125,1692
2,126,1437
2,127,1159
2,128,1303
2,129,1511
2,130,1152
2,131,1212
2,132,1164
2,133,878
2,134,1421
2,135,2112
2,136,913
2,137,1473
2,138,1969
2,139,1625
2,140,1917
2,141,1260
2,142,1971
2,143,1340
2,144,1572
2,145,1297
2,146,1164
2,147,2172
2,148,1608
2,149,1835
2,150,1481
2,151,1466
2,152,1224
2,153,1343
2,154,1058
2,155,1887
2,156,1314
2,157,1235
2,158,1665
2,159,1890
2,160,1994
2,161,1113
2,162,1386
2,163,1816
2,164,1467
2,165,1690
2,166,2112
2,167,2096
2,168,2191
2,169,1571
2,170,1542
2,171,1612
2,172,1583
2,173,1555
3,1,1663
3,2,1979
3,3,1735
3,4,1580
3,5,1258
3,6,1401
3,7,1737
3,8,1169
3,9,1153
3,10,1916
3,11,1777
3,12,2108
3,13,1822
3,14,1828
3,15,2898
3,16,1201
3,17,1627
3,18,1728
3,19,1516
3,20,1157
3,21,1136
3,22,1447
3,23,1926
3,24,2013
3,25,1161
3,26,928
3,27,1782
3,28,2568
3,29,1291
3,30,1623
3,31,2438
3,32,1646
3,33,1423
3,34,1506
3,35,2302
3,36,2371
3,37,1069
3,38,991
3,39,2485
3,40,1526
3,41,1364
3,42,1356
3,43,1669
3,44,1930
3,45,1078
3,46,1384
3,47,1785
3,48,1345
3,49,1643
3,50,1638
3,51,1847
3,52,1274
3,53,2210
3,54,1772
3,55,1576
3,56,879
3,57,1529
3,58,1406
3,59,1234
3,60,1388
3,61,1084
3,62,1612
3,63,1630
3,64,1243
3,65,1376
3,66,2273
3,67,1720
3,68,1158
3,69,1180
3,70,1242
3,71,1281
3,72,1382
3,73,1623
3,74,1778
3,75,1675
3,76,1002
3,77,1269
3,78,1707
3,79,1751
3,80,1547
3,81,1818
3,82,1893
3,83,1350
3,84,1437
3,85,1263
3,86,1239
3,87,1483
3,88,1375
3,89,1243
3,90,1054
3,91,1417
3,92,1200
3,93,1513
3,94,1185
3,95,1615
3,96,1572
3,97,1599
3,98,1364
3,99,959
3,100,1242
3,101,2355
3,102,1350
3,103,1180
3,104,1455
3,105,1157
3,106,1267
3,107,1578
3,108,1574
3,109,1594
3,110,1490
3,111,1282
3,112,1901
3,113,1641
3,114,1486
3,211,1504
3,212,2454
3,213,2370
4,1,1265
4,2,1956
4,3,1077
4,4,988
4,5,1221
4,6,1134
4,7,1094
4,8,996
4,9,1423
4,10,846
4,11,1765
4,12,1393
4,13,1263
4,14,865
4,15,1895
4,16,1101
4,17,1155
4,18,1551
4,19,1338
4,20,1470
4,21,1322
4,22,1605
4,23,1084
4,24,1068
4,25,1166
4,26,1243
4,27,1248
4,28,1310
4,29,1139
4,30,1781
4,31,1795
4,32,1537
4,33,1164
4,34,1497
4,35,1397
4,36,1729
4,37,2155
4,38,1273
4,39,1209
4,40,1576
4,41,1332
4,42,1737
4,43,1647
4,44,1605
4,45,1269
4,46,2620
4,47,1750
4,48,1523
4,49,1185
4,50,2090
4,51,1640
4,52,2222
4,53,1674
4,54,1045
4,55,1576
4,56,1799
4,84,1374
5,1,1731
5,2,1572
5,3,1407
5,4,1123
5,5,1227
5,6,1752
5,7,1732
5,8,1644
5,9,1723
5,10,1602
5,11,1405
5,12,1369
5,13,1686
5,14,1715
5,15,1632
5,16,1912
5,17,1596
5,18,1260
5,19,1738
5,20,1130
5,21,1359
5,22,1783
5,23,1483
5,24,1913
5,25,1347
5,26,1477
5,27,1434
5,28,1642
5,29,1686
5,30,1424
5,31,1668
5,32,1827
5,33,1367
5,34,1248
5,35,1089
5,36,1761
5,37,1409
5,38,1312
5,39,1551
5,40,1440
5,41,1862
5,42,1277
5,43,1482
5,44,1327
5,45,1566
5,46,1153
5,47,1255
5,48,1295
5,49,1718
5,50,1618
5,51,1589
5,52,1507
5,53,1509
5,54,1032
5,55,1475
5,56,1238
5,57,1689
5,58,1580
5,59,1667
5,60,1159
5,61,1479
5,62,1568
5,63,1587
5,64,1607
5,65,1696
5,66,1255
5,67,1318
5,68,1537
5,69,1758
5,70,1455
5,71,1634
5,72,1733
5,73,1603
5,74,1722
5,75,1795
5,76,1387
5,77,1516
5,78,2048
5,79,1274
5,80,1344
5,81,1607
5,82,1692
5,83,1273
5,84,1317
5,85,1336
5,86,1269
5,87,1647
5,88,1721
5,89,1745
5,90,1969
5,91,1508
5,92,1591
5,93,1153
5,94,2643
5,95,1630
5,96,1118
5,97,1596
5,98,1532
6,1,1148
6,2,1486
6,3,2268
6,4,1442
6,6,1022
6,7,1924
6,8,1997
6,9,1204
6,10,881
6,11,1296
6,12,1121
6,13,1725
6,14,1383
6,15,1408
6,16,1613
6,17,1331
6,18,1270
6,19,1459
6,20,1144
6,21,1352
6,22,1355
6,23,1354
6,24,1670
6,25,1429
6,26,1039
6,27,1188
6,28,1313
6,29,1268
6,30,1340
6,31,1092
6,32,1173
6,33,1311
6,34,1236
6,35,1023
6,36,1446
6,37,1105
6,38,1465
6,39,1577
6,40,1646
6,41,1777
6,42,1760
6,43,1294
6,44,1507
6,45,1255
6,46,1155
6,47,1488
6,48,1351
6,49,1163
6,50,1241
6,51,1270
6,52,1540
6,53,1481
6,54,1603
6,55,1428
6,56,1551
6,57,1497
6,58,1636
6,59,1529
6,60,1754
6,61,1325
6,62,1288
6,63,1533
6,64,1932
6,65,1199
6,66,1026
6,67,1771
6,68,1536
6,69,1085
6,70,1851
6,71,1074
6,72,1608
6,73,1350
6,74,1098
6,75,1091
6,76,1328
6,77,1192
6,78,1372
6,79,1088
6,80,1174
6,81,1311
6,82,2002
6,83,1743
6,84,1496
6,85,1240
6,86,1016
6,87,1857
6,88,1223
7,1,1572
7,2,1163
7,3,1310
7,4,1511
7,5,1476
7,6,947
7,7,1435
7,8,1450
7,9,1184
7,10,1327
7,11,1167
7,12,1575
7,13,1216
7,14,896
7,15,1386
7,16,1348
7,17,1716
7,18,1678
7,19,1436
7,20,1620
7,21,1038
7,22,1151
7,23,1292
7,24,1475
7,25,1420
7,26,1075
7,27,2023
7,28,1485
7,29,1292
7,30,1395
7,31,1567
7,32,1392
7,33,1442
7,34,1786
7,35,1804
7,36,1360
7,37,1483
7,38,1306
7,39,1595
7,40,1504
7,41,1410
7,42,1560
7,43,1383
7,44,1285
7,45,1521
7,46,1401
7,47,1511
7,48,1258
7,49,1205
7,50,1183
7,51,1739
7,52,1233
7,53,1455
7,54,1555
7,55,1192
7,56,1185
7,57,1451
7,58,1375
7,59,1273
7,60,1840
7,61,1221
7,62,1290
7,63,1442
7,64,1640
7,65,1687
7,66,1805
7,67,1519
7,68,1293
7,69,1365
7,70,1451
7,71,1371
7,72,1393
7,73,1129
7,74,1687
7,75,1231
7,76,1332
7,77,1321
7,78,1375
7,79,1387
7,80,1780
7,81,1912
7,82,1268
7,83,1254
7,84,1272
7,85,1302
7,86,1396
7,87,1618
7,88,1628
7,89,1358
7,90,1539
7,91,1186
7,92,1417
7,93,1649
7,94,1252
7,95,1542
7,96,1379
7,97,984
7,98,2111
7,99,1221
7,100,1026
7,101,1379
7,102,657
7,103,1565
7,104,1596
7,105,1058
7,106,1216
7,107,1221
7,108,1209
7,109,1604
7,110,1056
7,111,872
7,112,1254
7,113,1190
7,114,1170
7,115,1082
7,116,1463
7,117,1748
7,118,1236
7,119,1222
7,120,1219
7,121,1166
7,122,1310
7,123,1410
8,1,1258
8,2,1256
8,3,1256
8,4,1433
8,5,1161
8,6,1505
8,7,1223
8,8,1586
8,9,1687
8,10,1072
8,11,1213
8,12,1348
8,13,1222
8,14,1230
8,15,1420
8,16,1144
8,17,1336
8,18,1537
8,19,1788
8,20,1324
8,21,1459
8,22,1242
8,23,1393
8,24,1406
8,25,1208
8,26,1460
8,27,1313
8,28,1068
8,29,1531
8,30,1490
8,31,1288
8,32,1288
8,33,1459
8,34,1257
8,35,2368
8,36,1500
8,37,1514
8,38,1505
8,39,1516
8,40,1688
8,41,2443
8,42,1273
8,43,1160
8,44,1352
8,45,1735
8,46,1375
8,47,1569
8,48,966
8,49,1263
8,50,1423
8,51,1364
8,52,896
8,53,1171
8,54,1695
8,55,1850
8,56,1496
8,57,1333
8,58,1606
8,59,972
8,60,1205
8,61,1631
8,62,1172
8,63,1115
8,64,1762
8,65,1663
8,66,1556
8,67,1724
8,68,1861
8,69,1518
8,70,1503
8,71,1577
8,72,1309
8,73,1695
8,74,1378
8,75,1883
8,76,1539
8,77,1405
8,78,1500
8,79,1418
8,80,1491
8,81,1638
8,82,1571
8,83,1251
8,84,1147
8,85,1461
8,86,1690
8,87,1221
8,88,1258
8,89,1238
8,90,1251
8,91,1223
8,92,1014
8,93,1246
8,94,1216
8,95,1093
8,96,1790
8,97,1374
8,98,1285
8,99,1333
8,100,1269
8,101,1692
8,102,1500
8,103,1615
8,104,1242
8,105,1498
8,106,1201
8,107,1809
8,108,1892
8,109,1001
8,110,1908
8,111,1657
8,112,1732
8,113,1747
8,114,1894
8,115,1684
8,116,1400
8,215,1487
9,1,2596
9,2,2136
9,3,2111
9,4,1630
9,5,1598
9,6,1240
9,7,1295
9,8,1946
9,9,1443
9,10,1777
9,11,1749
9,13,1899
9,14,2113
9,15,1813
9,16,1381
9,17,1539
9,18,1464
9,19,2647
9,20,1143
9,21,1397
9,22,1215
9,23,1216
9,24,1153
9,25,1182
9,26,1561
9,27,1318
9,28,1622
9,29,1154
9,30,1503
9,31,1175
9,32,2167
9,33,3210
9,34,1388
9,35,1528
9,36,1457
9,37,1467
9,38,1532
9,39,1565
9,40,1550
9,41,1417
9,42,1274
9,43,1322
9,44,1416
9,45,1414
9,46,1322
9,47,1526
9,48,1428
9,49,1314
9,50,1592
9,51,1227
9,52,1167
9,53,1572
9,54,1137
9,55,1750
9,56,1144
9,57,1563
9,58,1491
9,59,1405
9,60,1331
9,61,1695
9,62,1140
9,63,1154
9,64,1197
9,65,1973
9,66,1443
9,67,1497
9,68,1569
9,69,904
9,70,1774
9,71,1880
9,72,1502
9,73,1521
9,74,1620
9,75,1531
9,76,1419
9,77,1588
9,78,1443
9,79,1609
9,80,1330
9,81,1723
9,82,1933
9,83,1619
9,84,1712
9,85,1697
9,86,1472
9,87,1317
9,88,1929
9,89,1484
9,90,1643
9,91,1874
9,92,1933
9,93,1324
9,94,2061
9,95,2094
9,156,1264
10,1,1583
10,2,1732
10,3,1594
10,4,1547
10,5,1665
10,6,1791
10,7,1289
10,8,1704
10,9,1528
10,10,1723
10,11,1206
10,12,1844
10,13,1359
10,14,1435
10,15,1855
10,16,1265
10,17,1728
10,18,1414
10,19,1638
10,20,1497
10,21,1350
10,22,1325
10,23,1471
10,24,1500
10,25,1397
10,26,1519
10,27,1534
10,28,1833
10,29,1531
10,30,1752
10,31,1553
10,32,1367
10,33,883
10,34,1719
10,35,1995
10,36,1487
10,37,1072
10,38,1644
10,39,1806
10,40,1862
10,41,1618
10,42,2649
10,43,2230
10,44,1572
10,45,1290
10,46,1239
10,47,1896
10,48,1652
10,49,1275
10,50,1623
10,51,1581
10,52,2397
10,53,1758
10,54,986
10,55,2590
10,56,1929
10,57,1404
10,58,1163
10,59,1722
10,60,1624
10,61,1816
10,62,1513
10,63,1195
10,64,1697
10,65,1595
10,66,2142
10,67,1950
10,68,1610
10,69,2492
10,70,1654
10,71,1816
10,72,2026
10,73,1485
10,74,1664
10,75,1488
10,76,2223
10,77,1844
10,78,2432
10,79,1809
10,80,2352
10,81,1950
10,82,2004
10,83,2244
10,84,1632
10,85,2042
10,86,1987
10,87,1796
10,88,1468
10,89,2538
10,90,1429
10,91,1925
10,92,1483
10,93,1048
10,94,2822
10,95,1282
10,96,1625
10,97,1586
10,98,1856
10,99,1123
10,100,1600
10,101,1579
10,102,2550
10,103,2202
10,104,1611
10,105,2294
10,106,1004
10,107,1576
10,108,1320
10,109,1554
10,110,1631
10,111,1261
10,112,1538
10,113,1200
10,114,1428
10,115,1475
10,116,1846
10,117,1280
10,118,1003
10,119,1121
10,120,1448
10,121,1592
10,122,1521
10,123,1399
10,124,1103
10,125,1108
10,126,1030
10,127,1028
10,128,1581
10,129,1210
10,130,1204
10,131,1187
10,132,1270
10,133,1677
10,134,1501
10,135,1229
10,136,1338
10,137,1572
10,138,1566
10,139,1680
10,140,1627
10,141,1063
10,142,1665
10,143,1776
10,234,1875
10,235,1375
10,236,1646
10,237,930
