,escola,postal_code,district,neighborhood,tipus,no2_corregit,no2_2017,census_track,renta,poblacio
0,80Tubes,8006,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,tràfic,41,39,5069,21886,1758
1,80Tubes,8006,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,fons,46,44,5070,21586,1455
2,80Tubes,8021,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,tràfic,28,27,5074,25406,1722
3,80Tubes,8006,Sarrià-Sant Gervasi,el Putxet i el Farró,tràfic,64,62,5081,20108,1607
4,80Tubes,8006,Sarrià-Sant Gervasi,el Putxet i el Farró,tràfic,106,102,5087,20829,1647
5,80Tubes,8023,Sarrià-Sant Gervasi,el Putxet i el Farró,tràfic,48,46,5092,26847,1591
6,80Tubes,8022,Sarrià-Sant Gervasi,el Putxet i el Farró,tràfic,64,62,5093,22232,1153
7,80Tubes,8037,Eixample,la Dreta de l'Eixample,tràfic,92,89,2082,22869,934
8,80Tubes,8008,Eixample,la Dreta de l'Eixample,tràfic,60,58,2080,25328,1450
9,80Tubes,8008,Eixample,la Dreta de l'Eixample,tràfic,64,62,2080,25328,1450
10,80Tubes,8009,Eixample,la Dreta de l'Eixample,tràfic,85,82,2080,25328,1450
11,80Tubes,8010,Eixample,la Dreta de l'Eixample,tràfic,67,64,2077,21540,1539
12,Escola Els Horts (Sant Martí),8020,Sant Martí,la Verneda i la Pau,pati,33,32,10135,12015,1229
13,Escola Els Horts (Sant Martí),8020,Sant Martí,la Verneda i la Pau,tràfic,35,34,10135,12015,1229
14,Escola Els Horts (Sant Martí),8020,Sant Martí,la Verneda i la Pau,fons,34,33,10135,12015,1229
15,Escola Els Horts (Sant Martí),8020,Sant Martí,la Verneda i la Pau,pati,35,34,10135,12015,1229
16,Escola Els Horts (Sant Martí),8020,Sant Martí,la Verneda i la Pau,tràfic,34,33,10130,13434,1204
17,Escola Els Horts (Sant Martí),8020,Sant Martí,la Verneda i la Pau,tràfic,37,36,10131,15045,1187
18,Escola Els Horts (Sant Martí),8020,Sant Martí,la Verneda i la Pau,tràfic,42,40,10131,15045,1187
19,Escola Els Horts (Sant Martí),8020,Sant Martí,la Verneda i la Pau,tràfic,35,34,10135,12015,1229
20,Escola Els Horts (Sant Martí),8020,Sant Martí,la Verneda i la Pau,tràfic,40,38,10131,15045,1187
21,Escola Els Horts (Sant Martí),8020,Sant Martí,la Verneda i la Pau,tràfic,37,36,10131,15045,1187
22,Escola Els Horts (Sant Martí),8020,Sant Martí,la Verneda i la Pau,tràfic,37,36,10133,12060,1677
23,Escola Els Horts (Sant Martí),8020,Sant Martí,la Verneda i la Pau,tràfic,31,30,10133,12060,1677
24,Escola Els Horts (Sant Martí),8020,Sant Martí,la Verneda i la Pau,tràfic,44,42,10134,11892,1501
25,Escola Els Horts (Sant Martí),8020,Sant Martí,la Verneda i la Pau,tràfic,38,37,10137,10558,1572
26,Escola Els Horts (Sant Martí),8020,Sant Martí,la Verneda i la Pau,tràfic,34,33,10137,10558,1572
27,Escola Els Horts (Sant Martí),8020,Sant Martí,la Verneda i la Pau,fons,35,34,10137,10558,1572
28,Escola Els Horts (Sant Martí),8020,Sant Martí,la Verneda i la Pau,fons,41,39,10137,10558,1572
29,Escola Els Horts (Sant Martí),8020,Sant Martí,la Verneda i la Pau,tràfic,41,39,10138,9836,1566
30,Escola Els Horts (Sant Martí),8020,Sant Martí,la Verneda i la Pau,fons,41,39,10138,9836,1566
31,Escola Els Horts (Sant Martí),8020,Sant Martí,la Verneda i la Pau,fons,42,40,10138,9836,1566
32,Escola Els Horts (Sant Martí),8020,Sant Martí,la Verneda i la Pau,fons,37,36,10140,10410,1627
33,Escola Els Horts (Sant Martí),8020,Sant Martí,la Verneda i la Pau,tràfic,35,34,10138,9836,1566
34,Escola Els Horts (Sant Martí),8020,Sant Martí,la Verneda i la Pau,tràfic,33,32,10137,10558,1572
35,Escola Els Horts (Sant Martí),8020,Sant Martí,la Verneda i la Pau,fons,31,30,10137,10558,1572
36,Escola Els Horts (Sant Martí),8020,Sant Martí,la Verneda i la Pau,fons,36,35,10136,12514,1338
37,Escola Els Horts (Sant Martí),8020,Sant Martí,la Verneda i la Pau,fons,34,33,10135,12015,1229
38,Escola Els Horts (Sant Martí),8020,Sant Martí,la Verneda i la Pau,tràfic,31,30,10135,12015,1229
39,Escola Els Horts (Sant Martí),8020,Sant Martí,la Verneda i la Pau,tràfic,33,32,10132,12199,1270
40,Escola Els Horts (Sant Martí),8020,Sant Martí,Sant Martí de Provençals,fons,31,30,10115,12677,1475
41,Escola Els Horts (Sant Martí),8020,Sant Martí,la Verneda i la Pau,fons,34,33,10133,12060,1677
42,Escola Els Horts (Sant Martí),8020,Sant Martí,la Verneda i la Pau,aula,34,33,10135,12015,1229
43,Escola Els Horts (Sant Martí),8020,Sant Martí,la Verneda i la Pau,tràfic,45,43,10135,12015,1229
44,Escola Els Horts (Sant Martí),8020,Sant Martí,la Verneda i la Pau,aula,39,38,10135,12015,1229
45,Escola Els Horts (Sant Martí),8020,Sant Martí,la Verneda i la Pau,tràfic,37,36,10135,12015,1229
46,Escola Sant Martí (Sant Martí),8018,Sant Martí,el Poblenou,pati,24,23,10067,20163,1950
47,Escola Sant Martí (Sant Martí),8018,Sant Martí,el Poblenou,aula,44,42,10067,20163,1950
48,Escola Sant Martí (Sant Martí),8018,Sant Martí,Provençals del Poblenou,fons,38,37,10096,16474,1625
49,Escola Sant Martí (Sant Martí),8018,Sant Martí,el Poblenou,tràfic,49,47,10075,13733,1488
50,Escola Sant Martí (Sant Martí),8018,Sant Martí,el Poblenou,tràfic,48,46,10074,13952,1664
51,Escola Sant Martí (Sant Martí),8005,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,fons,47,45,10078,19030,2432
52,Escola Sant Martí (Sant Martí),8005,Sant Martí,el Poblenou,tràfic,44,42,10073,13303,1485
53,Escola Sant Martí (Sant Martí),8018,Sant Martí,el Poblenou,tràfic,52,50,10070,13977,1654
